"BusTID","InternalNo","BusPlate","SIMCode"
"40288dee5b476aa5015b5c60514b04ab","3402","3402","14546995242"
"40288dee5b476aa5015b5c5f4e2d04a9","4313","粤G56742","14546971516"
"40288dee5b476aa5015b5c5dcc4c04a7","4312","粤G58463","8986011674520048345"
"40288dee5b476aa5015b5c5c418c04a3","4310","粤G56475",""
"40288dee5b476aa5015b5c546496048f","4216","粤G58135","8986011674520048016"
"40288dee5b476aa5015b5c539bb3048d","4215","粤G58138","8986011674520048015"
"40288dee5b476aa5015b5c52ef2f048b","4214","粤G58091","8986011674520048014"
"40288dee5b476aa5015b5c5240710489","4213","粤G58125","8986011674520048013"
"40288dee5b476aa5015b5c5176b00487","4212","粤G58087","8986011626520021188"
"40288dee5b476aa5015b5c50cff10485","4211","粤G58111","8986011674520048011"
"40288dee5b476aa5015b5c5018610483","4210","粤G58098","8986011674520048010"
"40288dee5b476aa5015b5c48f23b0471","4201","粤G58057","8986011674520048001"
"40288dee5b476aa5015b5c4999800473","4202","粤G58093","8986011674520048002"
"40288dee5b476aa5015b5c4af6e60475","4203","粤G58092","8986011674520048003"
"40288dee5b476aa5015b5c4c7f260479","4205","粤G58088","8986011626520021244"
"40288dee5b476aa5015b5c4d4b70047b","4206","粤G58095","8986011674520048006"
"40288dee5b476aa5015b5c4e0573047d","4207","粤G58186","8986011674520048007"
"40288dee5b476aa5015b5c4ed5ae047f","4208","粤G58086","8986011674520048008"
"40288dee5b476aa5015b5c4f7a0a0481","4209","粤G58107","8986011674520040089"
"40288dee5b476aa5015b5c30a7640459","4101","粤G58458","8986011674520048344"
"40288dee5b476aa5015b5c316dc7045b","4102","粤G58500","8986011626520021153"
"40288dee5b476aa5015b5c321ed5045d","4103","粤G58495","8986011626520021181"
"40288dee5b476aa5015b5c32f94a045f","4104","粤G58465","8986011674520048341"
"40288dee5b476aa5015b5c3f778f0461","4105","粤G58490","8986011674520048345"
"40288dee5b476aa5015b5c4032fb0463","4106","粤G58489","8986011674520048346"
"40288dee5b476aa5015b5c4114830465","4107","粤G58497","8986011674520048343"
"40288dee5b476aa5015b5c41b9600467","4108","粤G58539","8986011674520048509"
"40288dee5b476aa5015b5c426e2b0469","4109","粤G58483","8986011674520048339"
"40288dee5b476aa5015b5c430b51046b","4110","粤G58537","8986011674520048141"
"40288dee5b476aa5015b5c43a050046d","4111","粤G58515","8986011674520048340"
